time,rate
2013-05-31,2.093
2013-06-03,2.665
2013-06-04,2.728
2013-06-05,2.772
2013-06-06,3.023
2013-06-07,3.043
2013-06-08,3.041
2013-06-09,3.039
2013-06-10,3.037
2013-06-11,3.036
2013-06-12,3.036
2013-06-13,3.035
2013-06-14,3.234
2013-06-15,3.484
2013-06-16,3.732
2013-06-17,3.981
2013-06-18,4.338
2013-06-19,4.676
2013-06-20,4.968
2013-06-21,5.096
2013-06-22,5.222
2013-06-23,5.32
2013-06-24,5.419
2013-06-25,5.467
2013-06-26,5.658
2013-06-27,5.86
2013-06-28,5.991
2013-06-29,6.084
2013-06-30,6.192
2013-07-01,6.299
2013-07-02,6.307
2013-07-03,6.174
2013-07-04,6.034
2013-07-05,5.903
2013-07-06,5.739
2013-07-07,5.582
2013-07-08,5.425
2013-07-09,5.279
2013-07-10,5.15
2013-07-11,5.047
2013-07-12,4.959
2013-07-13,4.884
2013-07-14,4.815
2013-07-15,4.745
2013-07-16,4.682
2013-07-17,4.634
2013-07-18,4.582
2013-07-19,4.543
2013-07-20,4.518
2013-07-21,4.494
2013-07-22,4.471
2013-07-23,4.447
2013-07-24,4.426
2013-07-25,4.424
2013-07-26,4.411
2013-07-27,4.397
2013-07-28,4.384
2013-07-29,4.371
2013-07-30,4.369
2013-07-31,4.377
2013-08-01,4.392
2013-08-02,4.413
2013-08-03,4.437
2013-08-04,4.46
2013-08-05,4.483
2013-08-06,4.503
2013-08-07,4.507
2013-08-08,4.509
2013-08-09,4.516
2013-08-10,4.513
2013-08-11,4.512
2013-08-12,4.511
2013-08-13,4.511
2013-08-14,4.517
2013-08-15,4.521
2013-08-16,4.523
2013-08-17,4.524
2013-08-18,4.525
2013-08-19,4.526
2013-08-20,4.532
2013-08-21,4.54
2013-08-22,4.545
2013-08-23,4.546
2013-08-24,4.548
2013-08-25,4.551
2013-08-26,4.554
2013-08-27,4.546
2013-08-28,4.538
2013-08-29,4.528
2013-08-30,4.583
2013-08-31,4.686
2013-09-01,4.685
2013-09-02,4.685
2013-09-03,4.829
2013-09-04,4.84
2013-09-05,4.852
2013-09-06,4.807
2013-09-07,4.859
2013-09-08,4.87
2013-09-09,4.88
2013-09-10,4.876
2013-09-11,4.979
2013-09-12,4.989
2013-09-13,5.001
2013-09-14,4.932
2013-09-15,4.943
2013-09-16,4.956
2013-09-17,4.942
2013-09-18,4.848
2013-09-19,4.894
2013-09-20,4.893
2013-09-21,4.827
2013-09-22,4.825
2013-09-23,4.822
2013-09-24,4.724
2013-09-25,4.767
2013-09-26,4.796
2013-09-27,4.897
2013-09-28,4.963
2013-09-29,4.994
2013-09-30,5.026
2013-10-01,5.07
2013-10-02,5.065
2013-10-03,5.026
2013-10-04,4.956
2013-10-05,4.922
2013-10-06,4.924
2013-10-07,4.922
2013-10-08,4.919
2013-10-09,5.006
2013-10-10,4.992
2013-10-11,4.987
