date,sex,age,gender_percentage,total_percentage,actual_value,year
1404172800,male,0,1.28577939,0.632840629,2017857,2014
1404172800,male,1,1.28921772,0.634532924,2023253,2014
1404172800,male,2,1.28873918,0.634297395,2022502,2014
1404172800,male,3,1.30538031,0.642487899,2048618,2014
1404172800,male,4,1.30211784,0.640882164,2043498,2014
1404172800,male,5,1.30209809,0.640872442,2043467,2014
1404172800,male,6,1.34470195,0.661841399,2110328,2014
1404172800,male,7,1.35229228,0.665577242,2122240,2014
1404172800,male,8,1.34138468,0.660208692,2105122,2014
1404172800,male,9,1.33638266,0.657746774,2097272,2014
1404172800,male,10,1.33804066,0.658562814,2099874,2014
1404172800,male,11,1.32772629,0.653486244,2083687,2014
1404172800,male,12,1.32234577,0.650838036,2075243,2014
1404172800,male,13,1.35608171,0.667442341,2128187,2014
1404172800,male,14,1.37904705,0.678745525,2164228,2014
1404172800,male,15,1.35623273,0.667516669,2128424,2014
1404172800,male,16,1.35783465,0.66830511,2130938,2014
1404172800,male,17,1.36285006,0.670773615,2138809,2014
1404172800,male,18,1.37957848,0.679007085,2165062,2014
1404172800,male,19,1.41508839,0.696484509,2220790,2014
1404172800,male,20,1.44617102,0.7117829,2269570,2014
1404172800,male,21,1.47240074,0.72469276,2310734,2014
1404172800,male,22,1.50878999,0.74260298,2367842,2014
1404172800,male,23,1.52920653,0.752651684,2399883,2014
1404172800,male,24,1.52379988,0.749990616,2391398,2014
1404172800,male,25,1.46290773,0.720020447,2295836,2014
1404172800,male,26,1.42734557,0.702517306,2240026,2014
1404172800,male,27,1.40211435,0.690098889,2200429,2014
1404172800,male,28,1.40641927,0.692217706,2207185,2014
1404172800,male,29,1.41325516,0.695582224,2217913,2014
1404172800,male,30,1.36367778,0.671181007,2140108,2014
1404172800,male,31,1.38254974,0.680469495,2169725,2014
1404172800,male,32,1.38007422,0.679251081,2165840,2014
1404172800,male,33,1.36405309,0.671365729,2140697,2014
1404172800,male,34,1.39703331,0.687598082,2192455,2014
1404172800,male,35,1.30455705,0.642082702,2047326,2014
1404172800,male,36,1.27758053,0.628805279,2004990,2014
1404172800,male,37,1.26104199,0.620665268,1979035,2014
1404172800,male,38,1.2250631,0.602957019,1922571,2014
1404172800,male,39,1.26542529,0.622822661,1985914,2014
1404172800,male,40,1.22104237,0.600978076,1916261,2014
1404172800,male,41,1.23611535,0.608396761,1939916,2014
1404172800,male,42,1.2943612,0.637064466,2031325,2014
1404172800,male,43,1.36848737,0.673548212,2147656,2014
1404172800,male,44,1.39179552,0.685020124,2184235,2014
1404172800,male,45,1.31723542,0.648322802,2067223,2014
1404172800,male,46,1.28886407,0.634358865,2022698,2014
1404172800,male,47,1.28670269,0.633295065,2019306,2014
1404172800,male,48,1.31151336,0.645506493,2058243,2014
1404172800,male,49,1.38909252,0.683689747,2179993,2014
1404172800,male,50,1.40923697,0.693604535,2211607,2014
1404172800,male,51,1.40528506,0.691659463,2205405,2014
1404172800,male,52,1.4006456,0.689375994,2198124,2014
1404172800,male,53,1.41434095,0.696116632,2219617,2014
1404172800,male,54,1.42913101,0.70339607,2242828,2014
1404172800,male,55,1.37524297,0.676873213,2158258,2014
1404172800,male,56,1.36406902,0.67137357,2140722,2014
1404172800,male,57,1.34458789,0.661785261,2110149,2014
1404172800,male,58,1.29221639,0.63600882,2027959,2014
1404172800,male,59,1.27879758,0.629404293,2006900,2014
1404172800,male,60,1.21960739,0.600271803,1914009,2014
1404172800,male,61,1.1705882,0.576145318,1837080,2014
1404172800,male,62,1.12370554,0.553070402,1763504,2014
1404172800,male,63,1.08440493,0.533727251,1701827,2014
1404172800,male,64,1.05869198,0.521071737,1661474,2014
1404172800,male,65,1.02441952,0.504203363,1607688,2014
1404172800,male,66,1.01259244,0.498382259,1589127,2014
1404172800,male,67,1.0534561,0.51849472,1653257,2014
1404172800,male,68,0.7719556,0.379944548,1211480,2014
1404172800,male,69,0.756709942,0.372440872,1187554,2014
1404172800,male,70,0.732300705,0.360427025,1149247,2014
1404172800,male,71,0.745114168,0.366733612,1169356,2014
1404172800,male,72,0.644143385,0.317037362,1010896,2014
1404172800,male,73,0.581769108,0.286337712,913008,2014
1404172800,male,74,0.546356055,0.268907959,857432,2014
1404172800,male,75,0.511948506,0.251973097,803434,2014
1404172800,male,76,0.483238802,0.237842628,758378,2014
1404172800,male,77,0.439554888,0.216342084,689822,2014
1404172800,male,78,0.413676266,0.203605029,649209,2014
1404172800,male,79,0.38915297,0.191535043,610723,2014
1404172800,male,80,0.344108633,0.169364921,540032,2014
1404172800,male,81,0.325666778,0.160288126,511090,2014
1404172800,male,82,0.303929321,0.149589288,476976,2014
1404172800,male,83,0.281928702,0.138760925,442449,2014
1404172800,male,84,0.262058243,0.128980994,411265,2014
1404172800,male,85,0.228923182,0.112672432,359264,2014
1404172800,male,86,0.20577369,0.101278612,322934,2014
1404172800,male,87,0.180522073,0.088850159,283305,2014
1404172800,male,88,0.153129463,0.075367942,240316,2014
1404172800,male,89,0.131061937,0.064506648,205684,2014
1404172800,male,90,0.108547097,0.053425194,170350,2014
1404172800,male,91,0.087984638,0.043304671,138080,2014
1404172800,male,92,0.070011125,0.034458388,109873,2014
1404172800,male,93,0.054786495,0.026965061,85980,2014
1404172800,male,94,0.039589264,0.01948522,62130,2014
1404172800,male,95,0.027287472,0.01343047,42824,2014
1404172800,male,96,0.019902956,0.009795926,31235,2014
1404172800,male,97,0.013049228,0.006422627,20479,2014
1404172800,male,98,0.008697149,0.004280602,13649,2014
1404172800,male,99,0.00575838,0.002834185,9037,2014
1404172800,male,100,0.008748125,0.004305691,13729,2014
1372636800,NA,0,1.29566736,0.637944645,2016727,2013
1372636800,male,1,1.2990634,0.639616748,2022013,2013
1372636800,male,2,1.31091166,0.645450446,2040455,2013
1372636800,male,3,1.30831805,0.644173435,2036418,2013
1372636800,male,4,1.30856668,0.644295853,2036805,2013
1372636800,male,5,1.35188907,0.665626397,2104237,2013
1372636800,male,6,1.36001234,0.669626032,2116881,2013
1372636800,male,7,1.34924406,0.66432408,2100120,2013
1372636800,male,8,1.3443196,0.661899435,2092455,2013
1372636800,male,9,1.3461352,0.662793375,2095281,2013
1372636800,male,10,1.33565795,0.657634718,2078973,2013
1372636800,male,11,1.33009489,0.654895645,2070314,2013
1372636800,male,12,1.36393392,0.67155689,2122985,2013
1372636800,male,13,1.38674384,0.682787754,2158489,2013
1372636800,male,14,1.36314819,0.671170023,2121762,2013
1372636800,male,15,1.36325163,0.671220951,2121923,2013
1372636800,male,16,1.36582147,0.672486258,2125923,2013
1372636800,male,17,1.3801644,0.679548252,2148248,2013
1372636800,male,18,1.41386466,0.69614117,2200703,2013
1372636800,male,19,1.44514606,0.711543119,2249393,2013
1372636800,male,20,1.47098197,0.724263882,2289607,2013
1372636800,male,21,1.50841878,0.742696556,2347878,2013
1372636800,male,22,1.53005492,0.753349491,2381555,2013
1372636800,male,23,1.52674754,0.751721041,2376407,2013
1372636800,male,24,1.46707003,0.722337768,2283518,2013
1372636800,male,25,1.43210412,0.705121686,2229093,2013
1372636800,male,26,1.40732185,0.692919699,2190519,2013
1372636800,male,27,1.41230541,0.695373446,2198276,2013
1372636800,male,28,1.4197374,0.699032713,2209844,2013
1372636800,male,29,1.36982014,0.674455076,2132147,2013
1372636800,male,30,1.38926678,0.684029969,2162416,2013
1372636800,male,31,1.3868325,0.682831407,2158627,2013
1372636800,male,32,1.3706033,0.674840678,2133366,2013
1372636800,male,33,1.40430164,0.691432647,2185818,2013
1372636800,male,34,1.31150915,0.645744629,2041385,2013
1372636800,male,35,1.28473911,0.632563928,1999717,2013
1372636800,male,36,1.26849899,0.624567821,1974439,2013
1372636800,male,37,1.23213444,0.606663095,1917837,2013
1372636800,male,38,1.27291012,0.62673972,1981305,2013
1372636800,male,39,1.22836577,0.604807523,1911971,2013
1372636800,male,40,1.24412982,0.612569232,1936508,2013
1372636800,male,41,1.30325417,0.641680147,2028536,2013
1372636800,male,42,1.37862892,0.678792231,2145858,2013
1372636800,male,43,1.40246099,0.690526371,2182953,2013
1372636800,male,44,1.32741133,0.653574349,2066137,2013
1372636800,male,45,1.29902743,0.639599034,2021957,2013
1372636800,male,46,1.29684049,0.638522258,2018553,2013
1372636800,male,47,1.32288263,0.651344561,2059088,2013
1372636800,male,48,1.40225283,0.690423881,2182629,2013
1372636800,male,49,1.42362235,0.700945541,2215891,2013
1372636800,male,50,1.42054818,0.699431917,2211106,2013
1372636800,male,51,1.41715535,0.697761396,2205825,2013
1372636800,male,52,1.43229172,0.705214054,2229385,2013
1372636800,male,53,1.44809367,0.712994426,2253981,2013
1372636800,male,54,1.39456901,0.686640614,2170669,2013
1372636800,male,55,1.38448109,0.681673651,2154967,2013
1372636800,male,56,1.36575915,0.672455574,2125826,2013
1372636800,male,57,1.31344295,0.646696773,2044395,2013
1372636800,male,58,1.30082824,0.640485698,2024760,2013
1372636800,male,59,1.24151244,0.611280517,1932434,2013
1372636800,male,60,1.19243938,0.587118532,1856051,2013
1372636800,male,61,1.14583851,0.564173773,1783516,2013
1372636800,male,62,1.10660988,0.544858864,1722456,2013
1372636800,male,63,1.08054012,0.532022958,1681878,2013
1372636800,male,64,1.04751379,0.515761866,1630472,2013
1372636800,male,65,1.03821932,0.511185568,1616005,2013
1372636800,male,66,1.08141129,0.532451897,1683234,2013
